BertCRFModel,,,
Entity type,Precision,Recall,F1
PERSON,0.000000,0.000000,0.000000
LOCATION,0.727272,0.347826,0.470584
TIME,0.599999,0.428571,0.499994
ORGANIZATION,0.000000,0.000000,0.000000
Macro-F1,,,0.242644
Micro-F1,,,0.385960
Average Precision,,,0.331818
Average Recall,,,0.194099
""
""
BertCRFModel,,,
Entity type,Precision,Recall,F1
PERSON,0.000000,0.000000,0.000000
LOCATION,0.909090,0.434782,0.588231
TIME,0.999998,0.571428,0.727267
ORGANIZATION,0.000000,0.000000,0.000000
Macro-F1,,,0.328874
Micro-F1,,,0.482754
Average Precision,,,0.477272
Average Recall,,,0.251553
""
""
TorchModel,,,
Entity type,Precision,Recall,F1
PERSON,0.000000,0.000000,0.000000
LOCATION,0.666664,0.086956,0.153844
TIME,0.666664,0.285714,0.399995
ORGANIZATION,0.000000,0.000000,0.000000
Macro-F1,,,0.138460
Micro-F1,,,0.177775
Average Precision,,,0.333332
Average Recall,,,0.093168
""
""
TorchModel,,,
Entity type,Precision,Recall,F1
PERSON,0.000000,0.000000,0.000000
LOCATION,0.647058,0.478261,0.549995
TIME,0.857142,0.857142,0.857137
ORGANIZATION,0.000000,0.000000,0.000000
Macro-F1,,,0.351783
Micro-F1,,,0.515147
Average Precision,,,0.376050
Average Recall,,,0.333851
""
""
